,Submission,Title,Cited
1127,1128,Efficient Distribution Similarity Identification in Clustered Federated Learning via Principal Angles between Client Data Subspaces,5
851,852,Estimating Average Causal Effects from Patient Trajectories,5
11,12,Complex Dynamic Neurons Improved Spiking Transformer Network for Efficient Automatic Speech Recognition,5
1023,1024,Diffusion Models Beat GANs on Topology Optimization,5
1020,1021,Weight Predictor Network with Feature Selection for Small Sample Tabular Biomedical Data,5
1104,1105,Logical Satisfiability of Counterfactuals for Faithful Explanations in NLI,5
1134,1135,Spearman Rank Correlation Screening for Ultrahigh-Dimensional Censored Data,5
17,18,Progress and Limitations of Deep Networks to Recognize Objects in Unusual Poses,5
1046,1047,On Instance-Dependent Bounds for Offline Reinforcement Learning with Linear Function Approximation,5
1026,1027,The Unreasonable Effectiveness of Deep Evidential Regression,5
55,56,Defending Backdoor Attacks on Vision Transformer via Patch Processing,5
131,132,InstanceFormer: An Online Video Instance Segmentation Framework,5
931,932,Double Doubly Robust Thompson Sampling for Generalized Linear Contextual Bandits,4
670,671,The Effect of Modeling Human Rationality Level on Learning Rewards from Multiple Feedback Types,4
656,657,Bayesian Optimization-Based Combinatorial Assignment,4
383,384,Language-Assisted 3D Feature Learning for Semantic Scene Understanding,4
1027,1028,HyperJump: Accelerating HyperBand via Risk Modelling,4
57,58,Hierarchical Contrast for Unsupervised Skeleton-Based Action Representation Learning,4
850,851,Optimal Decision Diagrams for Classification,4
1170,1171,Reward Poisoning Attacks on Offline Multi-Agent Reinforcement Learning,4
847,848,Combinatorial Causal Bandits,4
1427,1428,Improving Simultaneous Machine Translation with Monolingual Data,4
180,181,Cross-Modality Earth Mover's Distance for Visible Thermal Person Re-identification,4
181,182,Hypotheses Tree Building for One-Shot Temporal Sentence Localization,4
483,484,T2-GNN: Graph Neural Networks for Graphs with Incomplete Features and Structure via Teacher-Student Distillation,4
1655,1656,Two Wrongs Don't Make a Right: Combating Confirmation Bias in Learning with Label Noise,4
1796,1797,Reward Design for an Online Reinforcement Learning Algorithm Supporting Oral Self-Care,4
425,426,Self-Supervised Action Representation Learning from Partial Spatio-Temporal Skeleton Sequences,4
1316,1317,HAVEN: Hierarchical Cooperative Multi-Agent Reinforcement Learning with Dual Coordination Mechanism,4
1664,1665,AutoCost: Evolving Intrinsic Cost for Zero-Violation Reinforcement Learning,4
504,505,On Generalized Degree Fairness in Graph Neural Networks,4
695,696,RobustLoc: Robust Camera Pose Regression in Challenging Driving Environments,4
940,941,Almost Cost-Free Communication in Federated Best Arm Identification,4
444,445,Solving Explainability Queries with Quantification: The Case of Feature Relevancy,4
205,206,ParaFormer: Parallel Attention Transformer for Efficient Feature Matching,4
441,442,A Framework to Design Approximation Algorithms for Finding Diverse Solutions in Combinatorial Problems,4
1696,1697,Misspecification in Inverse Reinforcement Learning,4
1379,1380,Lifted Inference with Linear Order Axiom,4
1672,1673,Sample-Dependent Adaptive Temperature Scaling for Improved Calibration,4
756,757,Achieving Zero Constraint Violation for Constrained Reinforcement Learning via Conservative Natural Policy Gradient Primal-Dual Algorithm,4
29,30,Painterly Image Harmonization in Dual Domains,4
532,533,SCI: A Spectrum Concentrated Implicit Neural Compression for Biomedical Data,4
567,568,Integrating Reward Maximization and Population Estimation: Sequential Decision-Making for Internal Revenue Service Audit Selection,4
619,620,Topological Distance Games,4
88,89,TransVCL: Attention-Enhanced Video Copy Localization Network with Flexible Supervision,4
1587,1588,Estimating Geographic Spillover Effects of COVID-19 Policies from Large-Scale Mobility Networks,4
644,645,Differentially Private Condorcet Voting,4
1609,1610,Interpretable Chirality-Aware Graph Neural Network for Quantitative Structure Activity Relationship Modeling in Drug Discovery,4
270,271,Learning Context-Aware Classifier for Semantic Segmentation,4
1192,1193,Transfer Learning Enhanced DeepONet for Long-Time Prediction of Evolution Equations,4
262,263,Rethinking Data Augmentation for Single-Source Domain Generalization in Medical Image Segmentation,4
1335,1336,Minimax AUC Fairness: Efficient Algorithm with Provable Convergence,4
130,131,MGTANet: Encoding Sequential LiDAR Points Using Long Short-Term Motion-Guided Temporal Attention for 3D Object Detection,4
1130,1131,Kalman Bayesian Neural Networks for Closed-Form Online Learning,4
1119,1120,DE-net: Dynamic Text-Guided Image Editing Adversarial Networks,4
