,Submission,Title,Cited
32,1407,Box2Mask: Weakly Supervised 3D Semantic Instance Segmentation Using Bounding Boxes,18
1277,5770,"ShAPO: Implicit Representations for Multi-Object Shape, Appearance, and Pose Optimization",18
380,1321,Highly Accurate Dichotomous Image Segmentation,18
63,2911,InfiniteNature-Zero: Learning Perpetual View Generation of Natural Scenes from Single Images,18
295,877,High-fidelity GAN Inversion with Padding Space,18
1156,5198,Geometry-Guided Progressive NeRF for Generalizable and Efficient Neural Human Rendering,18
84,4399,3D-Aware Indoor Scene Synthesis with Depth Priors,18
1092,4953,STEEX: Steering Counterfactual Explanations with Semantics,18
987,4439,Rethinking Keypoint Representations: Modeling Keypoints and Poses as Objects for Multi-Person Human Pose Estimation,18
1007,4552,Poseur: Direct Human Pose Regression with Transformers,18
532,2087,"Fashionformer: A Simple, Effective and Unified Baseline for Human Fashion Segmentation and Recognition",18
219,379,SdAE: Self-distillated Masked Autoencoder,18
322,1018,Discover and Mitigate Unknown Biases with Debiasing Alternate Networks,17
324,1026,Improving Test-Time Adaptation via Shift-agnostic Weight Regularization and Nearest Source Prototypes,17
248,609,Human Trajectory Prediction via Neural Social Physics,17
684,2903,PseudoClick: Interactive Image Segmentation with Click Imitation,17
1142,5127,SeedFormer: Patch Seeds based Point Cloud Completion with Upsample Transformer,17
710,3138,RFLA: Gaussian Receptive Field based Label Assignment for Tiny Object Detection,17
528,2050,CoSMix: Compositional Semantic Mix for Domain Adaptation in 3D LiDAR Segmentation,17
784,3511,DynaST: Dynamic Sparse Transformer for Exemplar-Guided Image Generation,17
123,5622,DiffuStereo: High Quality Human Reconstruction via Diffusion-based Stereo Using Sparse Cameras,16
168,86,Style-Hallucinated Dual Consistency Learning for Domain Generalized Semantic Segmentation,16
1062,4832,AdvDO: Realistic Adversarial Attacks for Trajectory Prediction,16
143,6739,UIA-ViT: Unsupervised Inconsistency-Aware Method based on Vision Transformer for Face Forgery Detection,16
256,650,TM2T: Stochastic and Tokenized Modeling for the Reciprocal Generation of 3D Human Motions and Texts,16
1554,7346,Learning from Unlabeled 3D Environments for Vision-and-Language Navigation,16
1432,6583,Multi-modal Text Recognition Networks: Interactive Enhancements between Visual and Semantic Features,16
114,5263,The Abduction of Sherlock Holmes: A Dataset for Visual Abductive Reasoning,16
1407,6463,Weakly Supervised 3D Scene Segmentation with Region-Level Boundary Awareness and Instance Discrimination,16
977,4408,Invariant Feature Learning for Generalized Long-Tailed Classification,16
467,1735,Video Graph Transformer for Video Question Answering,16
