,Submission,Title,Cited
1656,1543,Decoupling Knowledge from Memorization: Retrieval-augmented Prompt Learning,18
2097,5955,FedAvg with Fine Tuning: Local Updates Lead to Representation Learning,18
245,11435,Does GNN Pretraining Help Molecular Representation?,18
2619,9056,Reinforcement Learning with Neural Radiance Fields,18
991,11736,Learning with convolution and pooling operations in kernel methods,18
864,7586,Efficient Dataset Distillation using Random Feature Approximation,18
1230,903,Harmonizing the object recognition strategies of deep neural networks with humans,18
2812,5392,Picking on the Same Person: Does Algorithmic Monoculture lead to Outcome Homogenization?,18
1616,1052,Controllable 3D Face Synthesis with Conditional Generative Occupancy Fields,18
171,2608,Deep Hierarchical Planning from Pixels,18
386,7183,NaturalProver: Grounded Mathematical Proof Generation with Language Models,18
326,588,Advancing Model Pruning via Bi-level Optimization,17
1257,4225,Few-shot Image Generation via Adaptation-Aware Kernel Modulation,17
123,5319,Top Two Algorithms Revisited,17
2152,6989,The Privacy Onion Effect: Memorization is Relative,17
1644,2906,Practical Adversarial Multivalid Conformal Prediction,17
1824,9968,Learning to Branch with Tree MDPs,17
185,3225,SizeShiftReg: a Regularization Method for Improving Size-Generalization in Graph Neural Networks,17
2129,4812,Pre-Trained Image Encoder for Generalizable Visual Reinforcement Learning,17
422,3889,Towards Learning Universal Hyperparameter Optimizers with Transformers,17
2301,11390,Score-Based Generative Models Detect Manifolds,17
1549,4360,Scalable and Efficient Training of Large Convolutional Neural Networks with Differential Privacy,17
636,10104,On the Representation Collapse of Sparse Mixture of Experts,17
328,3594,Reincarnating Reinforcement Learning: Reusing Prior Computation to Accelerate Progress,17
2487,12868,LAMP: Extracting Text from Gradients with Language Model Priors,17
2819,11239,Object Representations as Fixed Points: Training Iterative Refinement Algorithms with Implicit Differentiation,17
2570,4581,Will Bilevel Optimizers Benefit from Loops,17
677,444,Adversarial Style Augmentation for Domain Generalized Urban-Scene Segmentation,17
1224,662,Model-Based Imitation Learning for Urban Driving,17
211,7384,Beyond Separability: Analyzing the Linear Transferability of Contrastive Representations to Related Subpopulations,17
1375,11334,The Neural Covariance SDE: Shaped Infinite Depth-and-Width Networks at Initialization,17
