Submission,Title,Cited
1536,TopFormer: Token Pyramid Transformer for Mobile Semantic Segmentation,47
1081,Attention Concatenation Volume for Accurate and Efficient Stereo Matching,46
1918,Learning Neural Light Fields With Ray-Space Embedding,46
302,MonoDTR: Monocular 3D Object Detection With Depth-Aware Transformer,46
224,Category Contrast for Unsupervised Domain Adaptation in Visual Tasks,46
1942,Zoom in and Out: A Mixed-Scale Triplet Network for Camouflaged Object Detection,45
1561,MixSTE: Seq2seq Mixed Spatio-Temporal Encoder for 3D Human Pose Estimation in Video,45
1806,Physical Inertial Poser (PIP): Physics-Aware Real-Time Human Motion Tracking From Sparse Inertial Sensors,45
427,BEHAVE: Dataset and Method for Tracking Human Object Interactions,45
59,Accelerating DETR Convergence via Semantic-Aligned Matching,44
34,Delving Deep Into the Generalization of Vision Transformers Under Distribution Shifts,44
52,FaceFormer: Speech-Driven 3D Facial Animation With Transformers,44
1941,HumanNeRF: Efficiently Generated Human Radiance Field From Sparse Inputs,44
830,NeRFReN: Neural Radiance Fields With Reflections,44
1314,InfoNeRF: Ray Entropy Minimization for Few-Shot Neural Volume Rendering,43
1141,Deep Generalized Unfolding Networks for Image Restoration,43
1911,On Adversarial Robustness of Trajectory Prediction for Autonomous Vehicles,43
208,Depth-Aware Generative Adversarial Network for Talking Head Video Generation,43
1368,HiVT: Hierarchical Vector Transformer for Multi-Agent Motion Prediction,43
1502,Selective-Supervised Contrastive Learning With Noisy Labels,42
1352,MiniViT: Compressing Vision Transformers With Weight Multiplexing,42
816,Deblur-NeRF: Neural Radiance Fields From Blurry Images,42
346,End-to-End Referring Video Object Segmentation With Multimodal Transformers,42
1181,InfoGCN: Representation Learning for Human Skeleton-Based Action Recognition,42
1179,Knowledge Distillation With the Reused Teacher Classifier,42
1078,IFRNet: Intermediate Feature Refine Network for Efficient Frame Interpolation,42
412,REGTR: End-to-End Point Cloud Correspondences With Transformers,42
1633,Self-Supervised Learning of Adversarial Example: Towards Good Generalizations for Deepfake Detection,41
1130,Language As Queries for Referring Video Object Segmentation,41
1213,Photorealistic Monocular 3D Reconstruction of Humans Wearing Clothing,41
1798,Structured Local Radiance Fields for Human Avatar Modeling,41
1670,Cross-Image Relational Knowledge Distillation for Semantic Segmentation,41
1344,OnePose: One-Shot Object Pose Estimation Without CAD Models,41
710,GLAMR: Global Occlusion-Aware Human Mesh Recovery With Dynamic Cameras,41
1108,Modeling Indirect Illumination for Inverse Rendering,40
1716,NeRFusion: Fusing Radiance Fields for Large-Scale Scene Reconstruction,40
1832,DIVeR: Real-Time and Accurate Neural Radiance Fields With Deterministic Integration for Volume Rendering,40
1674,Scenic: A JAX Library for Computer Vision Research and Beyond,40
1047,Expressive Talking Head Generation With Granular Audio-Visual Control,40
636,Surface Representation for Point Clouds,40
1205,LAS-AT: Adversarial Training With Learnable Attack Strategy,40
400,MSG-Transformer: Exchanging Local Spatial Information by Manipulating Messenger Tokens,40
112,Contrastive Boundary Learning for Point Cloud Segmentation,40
94,Towards Principled Disentanglement for Domain Generalization,40
955,FedDC: Federated Learning With Non-IID Data via Local Drift Decoupling and Correction,40
420,Gait Recognition in the Wild With Dense 3D Representations and a Benchmark,39
527,Towards Implicit Text-Guided 3D Shape Generation,39
1177,StylizedNeRF: Consistent 3D Scene Stylization As Stylized NeRF via 2D-3D Mutual Learning,39
827,PhysFormer: Facial Video-Based Physiological Measurement With Temporal Difference Transformer,39
1838,MonoScene: Monocular 3D Semantic Scene Completion,39
1819,TransMix: Attend To Mix for Vision Transformers,38
958,Point-to-Voxel Knowledge Distillation for LiDAR Semantic Segmentation,38
1486,HDR-NeRF: High Dynamic Range Neural Radiance Fields,38
72,Drop the GAN: In Defense of Patches Nearest Neighbors As Single Image Generative Models,38
736,Spiking Transformers for Event-Based Single Object Tracking,38
